"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep","SurprisalIBRDepth","SurprisalIBRSpkSep","SurprisalIBRLisSep"
"0001011010101010",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0001011010101011",4,4,"5","TRUE","TRUE","3","FALSE","TRUE"
"0001011010101100",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001011010101101",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0001011010101110",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0001011010101111",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0001011010111011",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011010111100",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0001011010111101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011010111110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011010111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011011101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011011101111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011011111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011101111000",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011101111001",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011101111010",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011101111011",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0001011101111110",4,4,"4","FALSE","FALSE","3","FALSE","FALSE"
"0001011101111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110001000",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110001001",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011110001010",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001011110001011",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001011110001110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110001111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011110011001",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110011010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001011110011011",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001011110011110",4,4,"3","FALSE","FALSE","3","FALSE","TRUE"
"0001011110011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011110101010",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110101011",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011110101100",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0001011110101101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110101111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011110111011",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0001011110111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110111101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011110111110",4,4,"6","TRUE","TRUE","5","TRUE","TRUE"
"0001011110111111",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0001011111101110",4,4,"4","FALSE","FALSE","4","FALSE","FALSE"
"0001011111101111",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0001011111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001111011101110",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001111011101111",4,4,"2","FALSE","FALSE","3","FALSE","FALSE"
"0001111011111111",4,4,"2","FALSE","TRUE","2","FALSE","TRUE"
"0001111111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0010001011011110",4,4,"4","FALSE","FALSE","3","FALSE","FALSE"
"0010001111011110",4,4,"3","FALSE","FALSE","3","FALSE","TRUE"
"0010010010011010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010011011110",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010101101000",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010101101001",4,4,"5","TRUE","TRUE","4","TRUE","TRUE"
"0010010101101010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010101101011",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010101101100",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010101101101",4,4,"4","TRUE","TRUE","4","TRUE","TRUE"
"0010010101101110",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010101101111",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010010110011010",4,4,"5","TRUE","TRUE","4","TRUE","TRUE"
"0010010111011110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0010011010011010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010011011011110",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010011110011010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0010011111011110",4,4,"6","TRUE","TRUE","5","TRUE","TRUE"
"0010110011011110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0010110111011110",4,4,"4","FALSE","FALSE","4","FALSE","FALSE"
"0010110111101110",4,4,"4","FALSE","FALSE","3","FALSE","FALSE"
"0010110111101111",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0011001100111100",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0011001100111101",4,4,"3","FALSE","FALSE","4","FALSE","FALSE"
"0011001100111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101001000",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0011001101001001",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0011001101001011",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101001100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101001101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101001111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101011000",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0011001101011001",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0011001101011010",4,4,"4","FALSE","FALSE","3","FALSE","FALSE"
"0011001101011011",4,4,"4","TRUE","FALSE","3","FALSE","FALSE"
"0011001101011100",4,4,"4","TRUE","FALSE","3","TRUE","FALSE"
"0011001101011101",4,4,"4","TRUE","FALSE","4","TRUE","FALSE"
"0011001101011110",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0011001101011111",4,4,"4","TRUE","FALSE","3","FALSE","FALSE"
"0011001101111000",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101111001",4,4,"4","TRUE","FALSE","3","FALSE","FALSE"
"0011001101111011",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001101111101",4,4,"4","FALSE","FALSE","3","FALSE","FALSE"
"0011001101111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001111001100",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0011001111001101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001111001111",4,4,"2","FALSE","FALSE","3","FALSE","FALSE"
"0011001111011101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001111011110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001111011111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011001111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011010001001000",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0011010001001001",4,4,"3","TRUE","FALSE","3","TRUE","FALSE"
"0011010001001011",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011010001001100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011010001001101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011010001001111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0011010001011000",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0011010001011001",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0011010001011010",4,4,"5","TRUE","TRUE","4","TRUE","TRUE"
"0011010001011011",4,4,"4","TRUE","TRUE","4","TRUE","TRUE"
"0011010001011100",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0011010001011101",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0011010001011110",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
